obj_goal_id,o_id,g_id
0,1,4
1,1,1
2,2,1
3,2,8
4,2,4
5,2,10
6,3,8
7,3,2
8,3,1
9,3,4
10,3,3
11,3,7
12,3,10
13,3,6
14,4,1
15,4,7
16,4,4
17,4,10
18,4,5
19,4,3
20,5,10
21,5,7
22,5,9
23,6,6
24,6,7
25,6,4
26,6,9
27,6,2
28,6,10
29,7,7
30,7,3
31,7,9
32,7,4
33,8,6
34,8,7
35,8,9
36,8,1
37,9,6
38,9,4
39,9,2
40,10,3
41,10,7
42,10,8
43,10,1
44,10,10
45,10,4
46,10,9
47,10,6
48,11,8
49,11,7
50,12,6
51,12,10
52,13,9
53,14,7
54,14,10
55,14,5
56,14,8
57,15,2
58,15,7
59,15,1
60,15,3
61,15,9
62,15,10
63,15,5
64,15,6
65,16,7
66,16,5
67,16,6
68,16,3
69,16,8
70,16,4
71,17,7
72,17,4
73,18,1
74,18,10
75,18,9
76,19,2
77,19,8
78,19,10
79,19,5
80,19,1
81,19,4
82,19,7
83,19,9
84,20,2
85,20,8
86,21,8
87,21,2
88,21,5
89,21,1
90,21,6
91,21,7
92,21,9
93,21,10
94,22,10
95,22,9
96,22,6
97,22,2
98,23,10
99,23,7
100,23,6
101,23,3
102,23,9
103,24,4
104,24,6
105,24,5
106,24,2
107,24,3
108,25,6
109,25,7
110,26,10
111,26,3
112,27,1
113,27,4
114,27,5
115,27,9
116,27,10
117,27,8
118,28,10
119,29,4
120,30,7
121,30,1
122,30,9
123,30,3
124,30,2
125,30,6
126,30,4
127,30,8
128,31,6
129,31,4
130,31,5
131,31,8
132,31,3
133,31,10
134,32,5
135,32,2
136,32,8
137,32,1
138,32,3
139,32,7
140,32,10
141,33,7
142,34,2
143,34,10
144,34,1
145,34,4
146,34,6
147,34,7
148,34,9
149,35,5
150,35,10
151,35,2
152,35,7
153,35,1
154,35,8
155,35,3
156,35,9
157,36,3
158,36,10
159,36,6
160,36,5
161,36,4
162,37,1
163,37,8
164,37,5
165,37,9
166,37,10
167,37,2
168,38,5
169,38,4
170,38,10
171,38,6
172,38,1
173,38,3
174,38,7
175,38,9
176,39,7
177,40,7
178,40,10
179,40,6
180,40,9
181,40,1
182,41,10
183,41,5
184,41,3
185,41,8
186,41,9
187,41,7
188,42,3
189,42,8
190,42,6
191,42,5
192,42,1
193,42,4
194,42,2
195,42,7
196,43,2
197,43,3
198,43,10
199,43,6
200,43,1
201,43,8
202,43,4
203,44,5
204,44,10
205,44,7
206,44,8
207,44,4
208,44,1
209,45,7
210,45,4
211,45,2
212,45,10
213,45,8
214,45,5
215,45,1
216,45,6
217,46,10
218,46,4
219,46,6
220,47,7
221,47,1
222,48,9
223,48,10
224,48,2
225,48,6
226,48,3
227,48,4
228,49,8
229,49,10
230,49,3
231,50,5
232,50,9
233,50,2
234,50,1
235,50,7
236,50,4
237,50,10
238,50,8
