ser_obj_id,s_id,o_id
0,1,24
1,1,26
2,1,2
3,2,41
4,2,14
5,2,50
6,3,22
7,3,1
8,3,3
9,4,14
10,4,5
11,4,20
12,4,43
13,4,47
14,5,13
15,5,16
16,6,17
17,6,41
18,6,14
19,6,36
20,7,25
21,7,40
22,7,26
23,8,24
24,8,50
25,8,13
26,8,28
27,9,19
28,10,48
29,11,27
30,11,34
31,12,23
32,12,14
33,13,8
34,13,31
35,13,22
36,14,17
37,14,29
38,14,18
39,15,28
40,16,19
41,16,6
42,17,38
43,17,13
44,17,17
45,17,2
46,18,34
47,18,48
48,19,14
49,19,47
50,19,32
51,19,13
52,20,17
53,20,9
54,21,10
55,21,38
56,21,8
57,21,9
58,22,29
59,23,43
60,24,46
61,24,8
62,24,6
63,25,45
64,25,16
65,25,33
66,26,15
67,27,33
68,27,32
69,27,25
70,28,12
71,28,26
72,28,25
73,28,15
74,29,37
75,29,32
76,29,16
77,29,10
78,30,14
79,30,43
80,30,37
81,30,28
